Date,Description,Amount,Transaction Type,Category,Account Name
01-01-2020,Rent/ Mortgage,1400.0,debit,Mortgage & Rent,Savings
01-01-2020,Eversource Electricity,77.55,debit,Utilities,Checking
01-01-2020,National Grid Gas,66.97,debit,Utilities,Checking
01-01-2020,Heating fuel,197.94,debit,Utilities,Checking
01-01-2020,Boston Halal,49.74,debit,Restaurants,Credit Card
01-02-2020,MBTA,15.0,debit,Travel expenses,Credit Card
01-02-2020,Boston Halal,64.3,debit,Restaurants,Credit Card
01-02-2020,Mama-cita,70.8,debit,Restaurants,Credit Card
01-03-2020,MBTA,19.19,debit,Travel expenses,Credit Card
01-04-2020,Market Basket,249.86,debit,Grocery shopping,Credit Card
01-04-2020,Boston Halal,76.56,debit,Restaurants,Credit Card
01-04-2020,Mall,43.52,debit,Shopping,Credit Card
01-04-2020,Ace Hardware,165.39,debit,Grocery shopping,Credit Card
01-04-2020,Dominos,74.32,debit,Restaurants,Credit Card
01-04-2020,Lyft,12.57,debit,Travel expenses,Credit Card
01-04-2020,MBTA,11.37,debit,Travel expenses,Credit Card
01-04-2020,AMC Boston,63.14,debit,Entertainment,Credit Card
01-05-2020,Boston Shawarma,34.27,debit,Restaurants,Credit Card
01-07-2020,Uber,21.7,debit,Travel expenses,Credit Card
01-07-2020,Market Basket,233.82,debit,Grocery shopping,Credit Card
01-08-2020,Mama-cita,38.31,debit,Restaurants,Credit Card
01-08-2020,Market Basket,157.45,debit,Grocery shopping,Credit Card
01-08-2020,MBTA,22.62,debit,Travel expenses,Credit Card
01-08-2020,Credit Transaction,17.17,credit,Cashback Rewards,Savings
01-09-2020,Mama-cita,59.54,debit,Restaurants,Credit Card
01-09-2020,Ace Hardware,210.0,debit,Grocery shopping,Credit Card
01-10-2020,Ace Hardware,154.77,debit,Grocery shopping,Credit Card
01-11-2020,AMC Boston,48.61,debit,Entertainment,Credit Card
01-11-2020,Market Basket,235.47,debit,Grocery shopping,Credit Card
01-11-2020,Boston Halal,66.06,debit,Restaurants,Credit Card
01-12-2020,Boston Halal,74.47,debit,Restaurants,Credit Card
01-12-2020,Mama-cita,47.44,debit,Restaurants,Credit Card
01-12-2020,Ace Hardware,224.87,debit,Grocery shopping,Credit Card
01-12-2020,AMC Boston,33.9,debit,Entertainment,Credit Card
01-13-2020,Lyft,28.34,debit,Travel expenses,Credit Card
01-13-2020,Monthly direct deposit - Salary,10000.0,credit,Salary,Savings
01-13-2020,Uber,11.36,debit,Travel expenses,Credit Card
01-13-2020,MBTA,28.47,debit,Travel expenses,Credit Card
01-14-2020,AMC Boston,24.71,debit,Entertainment,Credit Card
01-14-2020,Ice skating,28.64,debit,Entertainment,Credit Card
01-15-2020,Stop and Shop,170.28,debit,Grocery shopping,Credit Card
01-15-2020,Uber,18.31,debit,Travel expenses,Credit Card
01-16-2020,Temu,35.39,debit,Shopping,Credit Card
01-16-2020,Karaoke,63.16,debit,Entertainment,Credit Card
01-16-2020,Boston Shawarma,41.21,debit,Restaurants,Credit Card
01-17-2020,Stop and Shop,191.99,debit,Grocery shopping,Credit Card
01-17-2020,Ice skating,45.85,debit,Entertainment,Credit Card
01-18-2020,Boston Shawarma,67.2,debit,Restaurants,Credit Card
01-18-2020,Ice skating,45.32,debit,Entertainment,Credit Card
01-19-2020,Boston Shawarma,65.12,debit,Restaurants,Credit Card
01-19-2020,Market Basket,240.63,debit,Grocery shopping,Credit Card
01-20-2020,Stop and Shop,153.48,debit,Grocery shopping,Credit Card
01-20-2020,Boston Shawarma,60.28,debit,Restaurants,Credit Card
01-21-2020,StandUp show,30.22,debit,Entertainment,Credit Card
01-21-2020,Credit Transaction,12.3,credit,Cashback Rewards,Savings
01-21-2020,Stop and Shop,180.41,debit,Grocery shopping,Credit Card
01-22-2020,Karaoke,32.37,debit,Entertainment,Credit Card
01-22-2020,Lyft,20.09,debit,Travel expenses,Credit Card
01-22-2020,MBTA,15.09,debit,Travel expenses,Credit Card
01-23-2020,Lyft,14.74,debit,Travel expenses,Credit Card
01-23-2020,Uber,15.5,debit,Travel expenses,Credit Card
01-23-2020,MBTA,18.87,debit,Travel expenses,Credit Card
01-23-2020,Market Basket,188.94,debit,Grocery shopping,Credit Card
01-23-2020,Boston Halal,72.96,debit,Restaurants,Credit Card
01-24-2020,Boston Halal,49.17,debit,Restaurants,Credit Card
01-24-2020,Dominos,69.68,debit,Restaurants,Credit Card
01-24-2020,Mall,49.23,debit,Shopping,Credit Card
01-25-2020,Boston Shawarma,69.69,debit,Restaurants,Credit Card
01-25-2020,Mama-cita,55.18,debit,Restaurants,Credit Card
01-26-2020,Amazon,43.68,debit,Shopping,Credit Card
01-26-2020,Ice skating,68.61,debit,Entertainment,Credit Card
01-27-2020,MBTA,29.83,debit,Travel expenses,Credit Card
01-27-2020,Temu,48.19,debit,Shopping,Credit Card
01-28-2020,Ace Hardware,194.35,debit,Grocery shopping,Credit Card
01-28-2020,Uber,15.66,debit,Travel expenses,Credit Card
01-29-2020,Lyft,24.84,debit,Travel expenses,Credit Card
01-30-2020,Uber,26.1,debit,Travel expenses,Credit Card
01-31-2020,MBTA,24.7,debit,Travel expenses,Credit Card
02-01-2020,Rent/ Mortgage,1400.0,debit,Mortgage & Rent,Savings
02-01-2020,Eversource Electricity,56.28,debit,Utilities,Checking
02-01-2020,National Grid Gas,67.16,debit,Utilities,Checking
02-01-2020,Heating fuel,232.43,debit,Utilities,Checking
02-02-2020,Ice skating,56.65,debit,Entertainment,Credit Card
02-02-2020,Lyft,14.43,debit,Travel expenses,Credit Card
02-02-2020,Boston Shawarma,67.56,debit,Restaurants,Credit Card
02-02-2020,Boston Halal,74.39,debit,Restaurants,Credit Card
02-03-2020,Boston Shawarma,79.74,debit,Restaurants,Credit Card
02-03-2020,Dominos,41.85,debit,Restaurants,Credit Card
02-03-2020,Temu,31.72,debit,Shopping,Credit Card
02-04-2020,Boston Halal,60.92,debit,Restaurants,Credit Card
02-04-2020,Mall,47.78,debit,Shopping,Credit Card
02-05-2020,Karaoke,23.22,debit,Entertainment,Credit Card
02-05-2020,MBTA,29.13,debit,Travel expenses,Credit Card
02-05-2020,Mama-cita,77.53,debit,Restaurants,Credit Card
02-06-2020,Karaoke,61.23,debit,Entertainment,Credit Card
02-06-2020,MBTA,23.26,debit,Travel expenses,Credit Card
02-06-2020,Dominos,69.79,debit,Restaurants,Credit Card
02-06-2020,AMC Boston,43.56,debit,Entertainment,Credit Card
02-06-2020,StandUp show,44.73,debit,Entertainment,Credit Card
02-06-2020,Lyft,21.05,debit,Travel expenses,Credit Card
02-06-2020,Boston Shawarma,42.36,debit,Restaurants,Credit Card
02-07-2020,Ice skating,42.19,debit,Entertainment,Credit Card
02-07-2020,Temu,21.97,debit,Shopping,Credit Card
02-07-2020,AMC Boston,39.08,debit,Entertainment,Credit Card
02-07-2020,Stop and Shop,216.58,debit,Grocery shopping,Credit Card
02-08-2020,Uber,14.9,debit,Travel expenses,Credit Card
02-10-2020,Uber,19.04,debit,Travel expenses,Credit Card
02-10-2020,Temu,24.61,debit,Shopping,Credit Card
02-11-2020,Boston Halal,65.73,debit,Restaurants,Credit Card
02-11-2020,Mall,76.87,debit,Shopping,Credit Card
02-11-2020,Boston Shawarma,75.24,debit,Restaurants,Credit Card
02-12-2020,Ace Hardware,195.75,debit,Grocery shopping,Credit Card
02-12-2020,Amazon,55.2,debit,Shopping,Credit Card
02-12-2020,Mall,21.51,debit,Shopping,Credit Card
02-13-2020,StandUp show,57.0,debit,Entertainment,Credit Card
02-13-2020,Monthly direct deposit - Salary,10000.0,credit,Salary,Savings
02-14-2020,Boston Halal,66.63,debit,Restaurants,Credit Card
02-14-2020,Stop and Shop,219.35,debit,Grocery shopping,Credit Card
02-14-2020,MBTA,17.78,debit,Travel expenses,Credit Card
02-14-2020,Mama-cita,73.81,debit,Restaurants,Credit Card
02-14-2020,Uber,11.23,debit,Travel expenses,Credit Card
02-15-2020,StandUp show,25.95,debit,Entertainment,Credit Card
02-15-2020,MBTA,27.31,debit,Travel expenses,Credit Card
02-15-2020,Uber,28.75,debit,Travel expenses,Credit Card
02-15-2020,Market Basket,150.91,debit,Grocery shopping,Credit Card
02-15-2020,Lyft,14.6,debit,Travel expenses,Credit Card
02-15-2020,Boston Halal,33.33,debit,Restaurants,Credit Card
02-16-2020,Ice skating,30.89,debit,Entertainment,Credit Card
02-16-2020,Uber,21.63,debit,Travel expenses,Credit Card
02-16-2020,Mall,70.39,debit,Shopping,Credit Card
02-16-2020,Boston Halal,26.51,debit,Restaurants,Credit Card
02-16-2020,Amazon,65.14,debit,Shopping,Credit Card
02-17-2020,Temu,26.65,debit,Shopping,Credit Card
02-18-2020,Boston Halal,31.12,debit,Restaurants,Credit Card
02-18-2020,Boston Shawarma,74.23,debit,Restaurants,Credit Card
02-19-2020,Stop and Shop,231.82,debit,Grocery shopping,Credit Card
02-19-2020,MBTA,27.21,debit,Travel expenses,Credit Card
02-20-2020,Stop and Shop,207.0,debit,Grocery shopping,Credit Card
02-21-2020,Dominos,40.25,debit,Restaurants,Credit Card
02-21-2020,Boston Shawarma,71.51,debit,Restaurants,Credit Card
02-21-2020,Mama-cita,76.98,debit,Restaurants,Credit Card
02-22-2020,Trader Joes,201.3,debit,Grocery shopping,Credit Card
02-22-2020,Boston Shawarma,32.02,debit,Restaurants,Credit Card
02-22-2020,Credit Transaction,12.45,credit,Cashback Rewards,Savings
02-22-2020,Temu,24.34,debit,Shopping,Credit Card
02-22-2020,Market Basket,180.7,debit,Grocery shopping,Credit Card
02-23-2020,Karaoke,35.02,debit,Entertainment,Credit Card
02-23-2020,MBTA,10.41,debit,Travel expenses,Credit Card
02-23-2020,AMC Boston,33.13,debit,Entertainment,Credit Card
02-24-2020,Temu,48.28,debit,Shopping,Credit Card
02-24-2020,Uber,23.03,debit,Travel expenses,Credit Card
02-24-2020,Mall,20.55,debit,Shopping,Credit Card
02-25-2020,Mama-cita,33.62,debit,Restaurants,Credit Card
02-25-2020,Temu,41.8,debit,Shopping,Credit Card
02-25-2020,Boston Halal,61.04,debit,Restaurants,Credit Card
02-25-2020,Boston Shawarma,60.4,debit,Restaurants,Credit Card
02-25-2020,Uber,28.53,debit,Travel expenses,Credit Card
02-26-2020,MBTA,22.06,debit,Travel expenses,Credit Card
02-26-2020,Uber,28.1,debit,Travel expenses,Credit Card
02-26-2020,Lyft,24.8,debit,Travel expenses,Credit Card
02-27-2020,Mall,63.75,debit,Shopping,Credit Card
02-27-2020,Boston Shawarma,79.68,debit,Restaurants,Credit Card
02-27-2020,Mama-cita,56.77,debit,Restaurants,Credit Card
02-27-2020,Dominos,67.33,debit,Restaurants,Credit Card
02-27-2020,Market Basket,207.33,debit,Grocery shopping,Credit Card
02-28-2020,Uber,11.77,debit,Travel expenses,Credit Card
02-28-2020,Boston Halal,30.67,debit,Restaurants,Credit Card
02-29-2020,MBTA,23.73,debit,Travel expenses,Credit Card
02-29-2020,Credit Transaction,14.92,credit,Cashback Rewards,Savings
02-29-2020,Ace Hardware,211.63,debit,Grocery shopping,Credit Card
02-29-2020,Amazon,64.96,debit,Shopping,Credit Card
03-01-2020,Rent/ Mortgage,1400.0,debit,Mortgage & Rent,Savings
