Date,Description,Amount,Transaction Type,Category,Account Name
01-01-2020,MBTA,11.16,debit,Travel expenses,Credit Card
01-01-2020,Stop and Shop,165.35,debit,Grocery shopping,Credit Card
01-01-2020,Credit Transaction,6.61,credit,Cashback Rewards,Savings
01-01-2020,Heating fuel,182.3,debit,Utilities,Checking
01-01-2020,Dominos,54.76,debit,Restaurants,Credit Card
01-01-2020,Eversource Electricity,76.66,debit,Utilities,Checking
01-01-2020,Rent,1500.0,debit,Mortgage & Rent,Checking
01-01-2020,National Grid Gas,75.54,debit,Utilities,Checking
01-02-2020,Ace Hardware,151.44,debit,Grocery shopping,Credit Card
01-03-2020,Mama-cita,75.52,debit,Restaurants,Credit Card
01-03-2020,AMC Boston,21.63,debit,Entertainment,Credit Card
01-03-2020,StandUp show,44.9,debit,Entertainment,Credit Card
01-04-2020,Dominos,43.39,debit,Restaurants,Credit Card
01-04-2020,Stop and Shop,183.9,debit,Grocery shopping,Credit Card
01-04-2020,Credit Transaction,3.2,credit,Cashback Rewards,Savings
01-04-2020,Ace Hardware,152.78,debit,Grocery shopping,Credit Card
01-05-2020,Boston Shawarma,79.3,debit,Restaurants,Credit Card
01-06-2020,Boston Shawarma,33.1,debit,Restaurants,Credit Card
01-06-2020,Credit Transaction,261.41,credit,Dividends,Savings
01-06-2020,Stop and Shop,187.62,debit,Grocery shopping,Credit Card
01-06-2020,Dominos,29.77,debit,Restaurants,Credit Card
01-06-2020,Market Basket,157.97,debit,Grocery shopping,Credit Card
01-06-2020,Boston Halal,76.35,debit,Restaurants,Credit Card
01-06-2020,Mama-cita,44.85,debit,Restaurants,Credit Card
01-06-2020,Ace Hardware,179.48,debit,Grocery shopping,Credit Card
01-07-2020,Trader Joes,193.43,debit,Grocery shopping,Credit Card
01-07-2020,Ace Hardware,185.99,debit,Grocery shopping,Credit Card
01-07-2020,Boston Halal,40.51,debit,Restaurants,Credit Card
01-08-2020,Market Basket,183.25,debit,Grocery shopping,Credit Card
01-08-2020,Ace Hardware,179.08,debit,Grocery shopping,Credit Card
01-09-2020,Ace Hardware,184.39,debit,Grocery shopping,Credit Card
01-09-2020,Boston Shawarma,53.54,debit,Restaurants,Credit Card
01-09-2020,Mama-cita,76.28,debit,Restaurants,Credit Card
01-09-2020,Stop and Shop,192.91,debit,Grocery shopping,Credit Card
01-09-2020,Boston Halal,43.45,debit,Restaurants,Credit Card
01-09-2020,Dominos,25.32,debit,Restaurants,Credit Card
01-09-2020,Market Basket,190.17,debit,Grocery shopping,Credit Card
01-10-2020,Ace Hardware,172.4,debit,Grocery shopping,Credit Card
01-10-2020,Dominos,40.34,debit,Restaurants,Credit Card
01-10-2020,Stop and Shop,175.91,debit,Grocery shopping,Credit Card
01-11-2020,Dominos,25.59,debit,Restaurants,Credit Card
01-11-2020,Boston Halal,57.89,debit,Restaurants,Credit Card
01-12-2020,Trader Joes,170.81,debit,Grocery shopping,Credit Card
01-12-2020,Market Basket,199.73,debit,Grocery shopping,Credit Card
01-12-2020,Stop and Shop,164.7,debit,Grocery shopping,Credit Card
01-12-2020,Boston Halal,72.26,debit,Restaurants,Credit Card
01-13-2020,Mama-cita,34.92,debit,Restaurants,Credit Card
01-13-2020,Trader Joes,197.52,debit,Grocery shopping,Credit Card
01-13-2020,Temu,42.32,debit,Shopping,Credit Card
01-13-2020,Monthly direct deposit - Salary,3900.0,credit,Salary,Savings
01-14-2020,Trader Joes,158.32,debit,Grocery shopping,Credit Card
01-14-2020,Mama-cita,70.7,debit,Restaurants,Credit Card
01-14-2020,Amazon,75.68,debit,Shopping,Credit Card
01-14-2020,Dominos,33.54,debit,Restaurants,Credit Card
01-14-2020,Stop and Shop,194.63,debit,Grocery shopping,Credit Card
01-15-2020,AMC Boston,53.8,debit,Entertainment,Credit Card
01-15-2020,Boston Shawarma,44.17,debit,Restaurants,Credit Card
01-15-2020,Mall,33.12,debit,Shopping,Credit Card
01-15-2020,Market Basket,188.47,debit,Grocery shopping,Credit Card
01-16-2020,Trader Joes,179.95,debit,Grocery shopping,Credit Card
01-16-2020,Dominos,58.5,debit,Restaurants,Credit Card
01-16-2020,Mall,36.48,debit,Shopping,Credit Card
01-17-2020,Dominos,43.54,debit,Restaurants,Credit Card
01-17-2020,Boston Halal,40.07,debit,Restaurants,Credit Card
01-17-2020,Mall,61.98,debit,Shopping,Credit Card
01-17-2020,Mama-cita,57.32,debit,Restaurants,Credit Card
01-17-2020,Stop and Shop,181.74,debit,Grocery shopping,Credit Card
01-18-2020,Market Basket,189.53,debit,Grocery shopping,Credit Card
01-18-2020,Credit Transaction,125.94,credit,Dividends,Savings
01-18-2020,Stop and Shop,155.91,debit,Grocery shopping,Credit Card
01-19-2020,Mama-cita,38.55,debit,Restaurants,Credit Card
01-19-2020,Ice skating,68.54,debit,Entertainment,Credit Card
01-19-2020,Amazon,35.25,debit,Shopping,Credit Card
01-19-2020,Boston Halal,79.95,debit,Restaurants,Credit Card
01-19-2020,Dominos,46.05,debit,Restaurants,Credit Card
01-19-2020,Boston Shawarma,67.82,debit,Restaurants,Credit Card
01-20-2020,Dominos,31.19,debit,Restaurants,Credit Card
01-20-2020,Mama-cita,56.23,debit,Restaurants,Credit Card
01-20-2020,Temu,66.19,debit,Shopping,Credit Card
01-20-2020,Mall,42.19,debit,Shopping,Credit Card
01-20-2020,Amazon,23.77,debit,Shopping,Credit Card
